word,count,desc_count,fn_count,tier,source,example1,example2,example3
slice,28,11,17,new,both,Slow low build up elements followed by a dark glassy whoosh slice and ending with a reverberating decay.,"Low whoosh build up, leading to a high glassy quick swish slice.",Burst of energy ending with sword slice.
damped,28,19,9,new,both,"Funnel damped by hand. Sharp, resonant clang. Long tail.","Hook ring, damped by hand, struck, producing clang.",Abrupt cymbal mute with damped resonance and percussive closure.
friendly,28,18,10,new,both,"Domestic, Farm, Mammal. Friendly, curious braying and shrieking. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Friendly, curious braying and shrieking.","Domestic, Farm, Mammal. Friendly, short, low snorting. Mono, Sanken Co100K high frequency response."
inside,28,24,4,new,both,Rapid shaking of dice inside a cup.,"Action of turning down a plastic bottle filled with liquid, capturing the subtle bubbling and sloshing noises as the liquid settles inside the contain",Wooden whistles rattling inside a box characterized by its rhythmic and resonant nature.
clip,28,1,27,new,both,Locking the safety clip of pruning shears.,,
drops,28,7,21,new,both,Crispy noisy drops with subtle resonance on mid highs.,Steady water drops from soaked fabric with moist decay.,SMALL NORMAL Continuously flowing water onto plastic mat with different sized drops here and there.
wand,28,6,22,new,both,Fast wand flick with dusty shimmer and magical sparkle tail.,Controlled wand motion with radiant energy and modulated sweep.,Lively wand motion with tonal sweep and quick magical accent.
harmonically,28,28,0,mid,desc,Very harmonically dense laser fired with rising pitch.,"Sharp, dense, harmonically rich sonic burst breaking into grains with rumble.",Harmonically dense and metallic high pitch with long reverberation.
coins,28,22,6,new,both,Coins glimmering with frequency alteration and delay.,Gentle clinks and shuffles as the coins are shifted or moved in a hand.,Gentle scraping and movement of copper coins being handled by hand.
papery,28,26,2,new,both,Papery texture mid slow attack followed by snap with low end.,"Crushed, flattened thump with a lightweight, papery texture.","Soft, papery whoosh with crumbling, delicate textures."
let,28,27,1,mid,both,"Plastic trash bag let go, as if it were scrunched up and thuds lightly on impact.",IMPACT BALLOON FLAT Stretching flat party balloon and let it snap. Shooting with rubber.,IMPACT BALLOON INFLATED Stretching the bottom of an inflated party balloon and let it snap. Flabby.
babble,28,20,8,mid,both,"Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering. Mono, Sanken Co100K high frequency response","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering.","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, short jabbering. Mono, Sanken Co100K high frequency response."
trumpet,28,11,17,new,both,"PROCESSED SCREECH LONG Distorted and continuous buzzing, similar to blowing into a trumpet.","PROCESSED SCREECH SHORT High pitch buzz like sound, similar to short note buzz on a trumpet. Distorted.","HUMAN TRUMPET HIGH Pressing air through lips. Making elephant like sound. High, twice."
years,28,13,15,mid,both,Two years old baby girl starts crying. Increasing intensity at beginning.,Two years old baby girl weeping powerfully.,Two years old baby girl weeping. Strong and high. Calming down at the end.
essence,28,28,0,new,desc,Tonal essence resembling the appearance of clouds at a high altitude.,Tonal essence of clouds forming.,Charming and prolonged tonal essence reminiscent of a friendly greeting.
woody,28,27,1,new,both,"Woody shotgun sound, short tail.","Corky bottle pop with rich, woody tone and subtle glass resonance.",Twin wooden impacts with crisp flight and natural woody tone.
choppy,28,16,12,new,both,"Continuous elements moving and stuttering. Heavily distorted choppy and piercing texture, constant movement.","Continuous elements warping and stuttering. Heavily distorted choppy and wobbly texture, constant movement.","Heavily distorted and modulated, slow whooshes with rumbling and choppy elements."
towel,28,4,24,new,both,Short towel whoosh characterized by its brisk and swishing nature.,Crack bread crushed in towel. Many crunches.,Thick towel drop with muffled texture and soft landing. Body Fall.
mystical,28,27,1,new,both,"Mystical, enchanting sharp accent that signifies the sudden appearance of sorcery.",Mystical and ethereal tonal essence reminiscent of clouds forming or dissipating with a magical effect.,Gentle and mystical shimmering of bell dust being scattered or dispersed.
quality,28,28,0,new,desc,"Dreamy sound of a bell with a soft, ethereal quality.",Metallic sound with a sparkling quality and a subtle vibrato effect.,UI select element with a fragment-like quality.
cards,28,9,19,new,both,Action of rapidly shuffling a deck of plastic cards.,Swift brushing motion used to shuffle cards.,Brushing motion used to shuffle cards.
drill,28,10,18,mid,both,"Short and fast movement of metal drill tip on a suitcase in mid range. Typical, zipper like friction element.",Short and fast rolling movement of metal drill tip on a table.,Slow rolling movement of metal drill tip on a table.
rumbles,28,27,1,mid,both,"Ball of processed rumbles slowly expands outward while slightly rising in pitch, converging at center.","Low, metallic single or double rumbles. Varying speeds. Heavily distorted.","Short fire of laser, similar to Star Wars. Air rumbles. Medium length tail."
vibrant,27,27,0,new,desc,Brief explosion noise with a vibrant burst.,Continuous spinning with soft squeaking and some vibrant rattling.,Fast spinning with vibrant rattling and clanging.
hole,27,16,11,new,both,"A solo woman screaming """"fire in the hole"""" in a studio environment.","A solo man screaming """"fire in the hole"""" in a studio environment.","Black hole absorption, spectral swirl."
pick,27,5,22,new,both,Pick up big metallic piece and drop it on wooden surface. Ringing and rattling.,"Large rock, as if scraped by pick axe.","Group of rocks slowly come down slope and pick up momentum, scraping surface with thud like impact and warped particles floating into air."
cow,27,2,25,new,both,PERCUSSION METAL HIGH Hitting small cow bell. Short tail.,"PERCUSSION METAL LOW Hitting big cow bell. Resonant and sharp, ringing tail.",
vase,27,6,21,mid,both,"Rubber scraped in upwards direction on vase, producing short quick, roars which slow down towards end.","Rubber scraped in downwards direction on vase, producing rumbling of motor, which slow down towards end. Pitch falls.","Rubber inflated on top vase, with stretching, producing slight rumbling of motor and scrunch."
across,27,27,0,new,desc,"SYNTHETIC FLY BY Passing roar, like rumble of a heavy furniture being slid across the floor.",Action of wiping cards across a table surface while shuffling.,Smooth rustling and shifting as the page is slid across a surface.
cutter,27,9,18,mid,both,Hair cutter powered on and off. Rumble occurs at varying speeds.,Cutting a cardboard box with a box cutter. Fast single sound.,Cutting a cardboard box with a box cutter. Slow single sound.
foam,27,15,12,new,both,Light discharge of futuristic weapon collides with foam.,"Foam slapped, producing soft thud.","Foam squeezed, producing thump."
grapefruit,27,9,18,new,both,Grapefruit is slowly smashed.,Grapefruit is smashed. Liquid squish.,Grapefruit is smashed. Squishing wet parts.
acid,27,13,14,new,both,"Heated Potassium Chlorate and powdered sugar reacting with sulfuric acid. Fast burning, thick flame.","Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, high.","Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, low."
swelling,27,26,1,new,both,Conjured pressure swelling with forbidden magical weight.,"Tearing, swelling noise with inharmonic morphing highs.","Textural, inharmonic movement with swelling. Very little decay and resonance.."
glitch,27,16,11,new,both,Modulated glitch produced by movements of futuristic machine.,Glitch produced by movements of futuristic machine.,"Quick, rhythmic glitch burst with sharp modulations and noisy tail."
tomato,27,9,18,new,both,"BITE VEGETABLES MEDIUM SQUISHY Biting quickly into a tomato. Wet, squishing, splitting open.","BITE VEGETABLES MEDIUM SQUISHY Biting into a tomato. Juicy, squishing, crushing, splitting open.","BITE VEGETABLES MEDIUM SQUISHY Biting quickly into a tomato. Juicy, squishing, splitting open."
delayed,27,24,3,new,both,Shifting sound with a delayed jiggling effect.,Ascending jiggle with a delayed acceleration.,"Rough, textured jiggle with a delayed effect."
roarer,27,10,17,mid,both,Swirling and frictioning bull roarer noise texture. Steady swinging movement.,Medium sized bull roarer sophisticated swing bys with some crackling and low end.,Medium sized bull roarer single and slow swing bys with some crackling and low end.
droning,27,27,0,mid,desc,Low frequency inharmonic droning with dense convolution.,Massive rumbling impact followed by droning low hum and tonal zapping elements.,Large fluttering and droning elements pass by whooshing.
chatter,27,12,15,new,both,"Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering. Mono, Sanken Co100K high frequency response","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering.","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, short jabbering. Mono, Sanken Co100K high frequency response."
pulsating,27,24,3,new,both,"SYNTHETIC SCREECH SHORT Bang, followed by pulsating and piercing screech.","SYNTHETIC DECAY Deep rumble, with pulsating screech and feedback.",SYNTHETIC FLY BY Burst of pulsating roar and heavy rattling.
celestial,27,22,5,new,both,"Large and heavy, quick pass by whooshes. Like a large celestial body passing by.","Large and heavy, slow pass by whooshes. Like a large celestial body passing by.","Slow whooshing pass by elements with rumbling, rotating and warping elements on top. Like a pass bys of a large celestial body."
gestures,27,26,1,mid,both,One-shot gestures of bells with diversity in pitch and long release.,"MOTION MEDIUM DULL Ruffling, rustling, dragging, friction. broadband noise. Quick swells in single gestures.","FLIGHT MOVEMENT Crackling, rippling swoosh leading crunchy texture and thunderous rumble. 2 gestures over 3 seconds."
multi,27,8,19,new,both,"Multi layered, dynamically shifting frequencies with intricate filtering.",Closing a foldable multi tool.,Folding the knife of a multi tool.
headed,27,27,0,unknown,desc,"Two strong, deep hits in close succession. Strong low resonance, medium to long decay. Various instances. Reverberant. Double Headed Verdi Drum.","Two strong, deep hits in close succession. Strong low resonance, medium to long decay. Various instances. Ambient. Double Headed Verdi Drum.","Two strong, deep hits in close succession. Strong low resonance, medium to long decay. Various instances. Dry. Double Headed Verdi Drum."
cellophane,27,10,17,mid,both,Hand moved aggressively through cellophane in long sequence. Crunchy and squeaky.,"Hand moved through cellophane, producing consistent high pitch, in long sequence.","Hand moved through cellophane, producing consistent high pitch, in short sequence."
ladder,27,10,17,new,both,Jolt with white noise ladder filter shift.,Jolt with white noise triangle wave ladder filter.,Step ladder is folded and unfolded. Click followed by thud.
plunging,27,27,0,old,desc,BODY DROP LARGE SPLASH Moderate splash and low plunging sound.,"FOOTSTEP LARGE IMPACT Small to medium-sized object being submerged in liquid. Plunging, displacement and moderate splash.","FOOTSTEP LARGE IMPACT Small to medium-sized object being submerged, pulled in liquid. Plunging, displacement and moderate splash, creating small wave."
shuffle,27,16,11,new,both,Swift brushing motion used to shuffle cards.,Brushing motion used to shuffle cards.,Short and swift swipe shuffle of cards.
velocity,27,25,2,new,both,Blazing spell surging forward with hellish velocity.,"Violin bow dragged along sticky tape with varying velocity, producing door creaks, as if it is opened at varying speeds.","Violin bowed on plastic, similar to stick striking grooves between fence, only much shriller and screechy in short sequence. Sound mostly continuous d"
sucking,27,26,1,mid,both,Vacuum cleaner sucking in air with fluttering material and some tonal whirring.,"Vacuum cleaner sucking in air with a balloon friction. Short, whining and tonal.","Vacuum cleaner sucking in air with a balloon friction. Low, sporadic and long."
rush,27,18,9,new,both,Whoosh with characteristics reminiscent of a noisy rush of air.,"Whooshing UI tick that indicates a rush of air, characterised by a ripple effect.",Dense nylon rush with fluttering motion and tonal layering.
fine,27,15,12,new,both,"Extended, airy gas stream with a fine, continuous hiss.",Crushed glass impact with fine shard detail and clustered resonance.,Short glass scatter with fine chimes and light movement.
scraped,27,27,0,new,desc,Hand scraped hits with long resonant low frequency tail.,"Plastic canister flipped over and over, as if scraped against surface or motorcycle engine starting and stopping.","Plastic foil cries out, as if like small animal or like plastic cup scraped against table."
strap,27,13,14,new,both,Closing a tie down strap. Fast single sound.,Closing a tie down strap. Slow single sound.,Fasten a tie down strap. Fast sequence.
whisper,27,5,22,new,both,"Swift, breathy whisper infused with magical motion and light whoosh.","Slow, whisper trail with delicate air texture and celestial aura.","Quick, raspy whisper layered with cursed energy and tension."
pops,27,19,8,new,both,Series of mouth pops with progressively increasing pitch.,Sequence of rapid and successive mouth pops.,"Medium length, muffled laser burst, converges to center and pops."
squawk,26,12,14,new,both, Squawk 01.wav, Squawk 02.wav, Squawk
caw,26,16,10,new,both, Caw,,
voltage,26,13,13,new,both,"SYNTHETIC HIT HIGH High voltage laser like shot, with feedback.",Sharp impact jolting with malicious voltage and distorted aggression.,"Sharp, electrified zap with a high voltage transient."
zaps,26,17,9,new,both,"Bubbly noise texture movement, with additional tonal zaps on top.",Short noise whooshes with piercing zaps in the high range.,Rumbling and crumbling inwards zaps with lots of low-end.
coarse,26,23,3,new,both,"Coarse, gritty fabric scrape sustained with rigid, abrasive texture.",Consistent wood textured rustle with coarse surface motion.,Plastic movement with coarse texture and friction modulation.
storm,26,13,13,new,both,"Storm approaching, electric precipitation.","Cosmic dust storm, electric breeze","Ionized precipitation, electrons storm."
highlight,26,11,15,new,both,"A zappy, high-pitched jolt crafted to accentuate or highlight a moment.",Bright and textured highlight of a glass shimmer.,Magical high pitched shimmer that signifies a positive highlight.
opened,26,26,0,new,desc,"PROCESSED SCREECH LONG Continuous screech, opened with a bang, followed by wobbly dispersion.",Motion of shaking dice in an opened hand.,Quick rustling and flipping of pages as the book is opened swiftly.
forward,26,17,9,new,both,Confirmative UI tick that is reminiscent of a miniature rocket igniting and propelling forward.,Quick torch whoosh with compressed burn and forward motion.,Empowering breeze leading forward with glowing spiritual grace.
snarls,26,26,0,mid,desc,"Goblin, Dwarf, Leprechaun, Fantasy. Female voice, long, aggressive tonal snarls. Mono, Sanken Co100K high frequency response.","Goblin, Dwarf, Leprechaun, Fantasy. Female voice, long, aggressive tonal snarls.","Goblin, Dwarf, Leprechaun, Fantasy. Female voice, short, aggressive tonal snarls. Mono, Sanken Co100K high frequency response."
lingering,26,26,0,new,desc,Soft and lingering whimsical explosion ending with a long tail.,Lingering and fading tones of a sorcery chime.,Dread soaked gust crying out with lingering supernatural anguish.
collides,26,26,0,new,desc,Singular clinks and tinkles as the coin collides with the ceramic surface of the cup.,Singular clinks and tinkles as the coin collides with the glass surface of the cup.,Solid thud and resonant reverberations as a case collides with a plastic bucket.
shooting,26,25,1,new,both,"PROCESSED HIT HIGH Shooting laser like sound, with heavy wobbling.","SYNTHETIC HIT LOW Hard and whip like snap, like shooting an old pistol.","SYNTHETIC SCREECH SHORT High pitch and synthetic screech, similar to shooting a laser beam."
lore,26,1,25,mid,both,"Lore hook produces hollow, short clank and high pitched click.",,
feather,26,2,24,old,both,Fast whoosh with the feather tip of an arrow. Lots of low end.,Soft whoosh with the feather tip of an arrow.,
taps,26,26,0,new,desc,Metal tick characterized by a series of nuanced clicks and metallic taps.,Soft ring like sound with deep and quick taps.,Quick and short taps with changing intensity.
rasp,26,17,9,new,both,Dual scraping rattle with textured rasp and metallic character.,Slow textured canvas abrasion with focused tonal rasp.,Magic infused tarp movement with mystical friction and light rasp.
speeds,26,26,0,mid,desc,Sharp click occurring in twos at slower and slower speeds.,Synthetic rise in pitch. Grains moving at varying speeds.,Static synthetic pitch followed by rise in pitch at varying speeds. Sometimes stops on one pitch in the middle.
wall,26,10,16,mid,both,"Double lever of door opened, similar to door colliding against wall or being slammed.",Synthetic plasma thrown to wall quickly and trickles down.,Patting a wall with a putty knife.
nose,26,13,13,new,both,"Air being blown through the nose characterized by steady airflow produced by exhalation, prolonged in length.","Air being blown through the nose characterized by steady airflow produced by exhalation, moderate in length.","Air being blown through the nose characterized by steady airflow produced by exhalation, brief in length."
tear,26,12,14,new,both,"Scratch, Tear. Raspy, aggressive scratching with movement. Mono, Sanken Co100K high frequency response.","Scratch, Tear. Raspy, short, tonal aggressive scratching and screeching. Mono, Sanken Co100K high frequency response.","Scratch, Tear. Raspy, long, slightly tonal scratching and screeching with movement. Mono, Sanken Co100K high frequency response."
potatoes,26,1,25,new,both,"Heavy, sluggish drop that lands like a sack of potatoes.",,
forcefully,26,26,0,new,desc,Intense rustling and tearing as a paper is forcefully crumpled.,Sharp and crunchy impact as a grocery bag is compressed forcefully.,"Air being blown forcefully through the mouth characterized by an airy, swishing motion created by breath."
ratel,26,26,0,new,desc,"Wild, Ratel, Mammal. Very high, short, tonal chirping and snarling. Very long sequences. Mono, Sanken Co100K high frequency response.","Wild, Ratel, Mammal. Very high, short, tonal chirping and snarling. Very long sequences.","Wild, Ratel, Mammal. Very high, short tonal chirping. Very long sequences. Mono, Sanken Co100K high frequency response."
falco,26,6,20,new,both,"Wild, Falco Jugger, Lugger Falcon. Curious, long, high, tonal screaming. Mono, Sanken Co100K high frequency response.","Wild, Falco Jugger, Lugger Falcon. Curious, long, high, tonal screaming.","Wild, Falco Jugger, Lugger Falcon. Curious, short, high, tonal screaming. Mono, Sanken Co100K high frequency response."
trick,26,19,7,old,both,BAILING TRICK FAIL Skateboard rolling away.,BAILING TRICK FAIL Skateboard breaking.,BAILING TRICK FAIL Skater fails kickflip.
using,25,25,0,new,desc,"Rapid ridealong, captured using an electromagnetic field microphone placed on the engine.","Moderate ridealong, captured using an electromagnetic field microphone placed on the engine.","Slow ridealong, captured using an electromagnetic field microphone placed on the engine."
comes,25,25,0,new,desc,"Clear, ringing as liquid comes into contact with a ceramic surface.",Sharp crack and scattering as a small stone comes to rest on a pile.,Processed flutter. Particles going wild. Pitch rises. Then low pitch comes back. Particles moving at different speed than beginning.
your,25,10,15,new,both,"A solo woman screaming """"hold your ground"""" in a studio environment.","A solo man screaming """"hold your ground"""" in a studio environment.",
bars,25,16,9,mid,both,Several clanging impacts by moving metallic bars around.,Small wooden bars rolling and dropping. Slightly tonal.,Bigger wooden bars rolling and dropping. Slightly tonal.
chord,25,11,14,new,both,Single chord is played and held.,Chord is played and held.,Chord is played with fall in tone.
unstable,25,24,1,new,both,"Wild. Animated, high, tonal screaming with unstable pitch. Mono, Sanken Co100K high frequency response.","Wild. Animated, high, tonal screaming with unstable pitch.","Wild. High, desperate, tonal scream with unstable pitch. Mono, Sanken Co100K high frequency response."
lows,25,25,0,new,desc,Muffled wind pass with warm lows and gentle transition.,Tight bass hit with clean snap and dry lows.,Massive thump with full body collapse and layered lows.
amount,25,25,0,mid,desc,Dropping small amount of stones. Fast and short.,Dropping small amount of stones. Slow with longer tail.,Dropping little amount of small debris. Fast and short.
mushy,25,25,0,new,desc,Wet and mushy hit.,"Continuous, wet, and mushy movement.","Continuous, hard, wet, and mushy movement."
jaw,25,2,23,old,both,INSTRUMENT JAW HARP LONG Playing long sequences with Jew's harp. Continuous sequence.,WOBBLE METAL TONAL Playing jaw harp and shaping mouth for wobbling pitch effect.,
battle,25,1,24,new,both,Chicken lets out battle cry and aggressively cranes head in gory attack.,,
go,25,11,14,new,both,"A solo woman screaming """"go"""" in a studio environment.","A solo man screaming """"go"""" in a studio environment.","Plastic trash bag let go, as if it were scrunched up and thuds lightly on impact."
dispersed,25,21,4,new,both,Gentle and mystical shimmering of bell dust being scattered or dispersed.,Processed drone with dispersed electric particles and buzzes going in and out.,"Short, punchy bursts. Sharp attack followed by squeaky grains quickly dispersed."
chair,25,7,18,new,both,"Violin bow scraped quickly against lever arch file, as if squeaky rocking chair is moved quickly back and forth.",Rustling slap with papery flutter and subtle chair tone.,PLASTIC SQUEAK HIGH Tilting office chair back and forth. Fast squeaky.
crushed,25,24,1,new,both,Extended explosion noise imitating a car being crushed.,"Binary draining, crushed energy.",Crushed glass impact with fine shard detail and clustered resonance.
shifts,25,25,0,new,desc,Motion characterized by deformed frequency shifts.,"High-pitched sharp accent with rapid shifts in pitch, moving up and down.",Whoosh characterized by brief white noise and two filter frequency shifts.
dual,24,16,8,new,both,Rapid motion with dual filters and delay modulation.,Rapid motion that incorporates dual filter effects.,Quick motion noise sound with white noise saw wave and dual delay shift.
causing,24,24,0,mid,desc,"Plunger moved back and forth slowly through jelly, causing jelly to morph and bubble.","Stone falls down slope colliding with many rocks, causing glassy impacts.",Rock crashes softly onto ground. Tail causing ripples.
rail,24,10,14,mid,both,"Tiny drawer being closed, rail sliding movement. Mechanical and metallic clicking elements.","Tiny drawer being opened, rail sliding movement. Mechanical and metallic clicking elements.",LANDING METAL IMPACT Skater landing on a rail.
rocky,24,14,10,new,both,"Rumbling, rocky and heavily processed explosion. Lots of low end rumbling with distorted elements on top.","Rustling of hard, rocky material with slow attack.","Whoosh of watermelon, like large object slid quickly along rocky surface and suddenly comes to a halt with dirt and rocks coming up in its wake."
fraction,24,23,1,mid,both,"PROCESSED FRACTION High, piercing, very short impact. Harsh transient with metallic character.","PROCESSED FRACTION Short scratches, like trying to light a match.","PROCESSED FRACTION Short burst, similar to explosion, with feedback."
ray,24,16,8,new,both,Beam characterised by a delayed ray shot.,"RAY BIG Beams fires wide, lengthy discharge, producing many crystals. Slight wobble as it decays.",RAY BIG Slight ripples and short beeps followed by lengthy beam fire. Extremely gritty and distorted. Modulated falling pitch.
hammering,24,22,2,mid,both,Hammering concrete with a steel hammer. Hard sequence.,Hammering concrete with a steel hammer. Soft sequence.,Hammering concrete with a steel hammer. Hard single sound.
elastic,24,22,2,new,both,Double stretch of tape with elastic texture and frictional detail.,"Quick, punchy zap with a bouncing, elastic character.","Quick, elastic snap with a waterproof fabric texture."
wheelchair,24,12,12,mid,both,Electric wheelchair clicking brake elements followed by a backwards movement and mechanical buzzing.,Electric wheelchair clicking brake elements followed by a forward movement and mechanical buzzing.,"Electric wheelchair with carbon wheels backwards movement with additional clicking, mechanical buzzing and rotating elements."
dissonant,24,23,1,new,both,"Short, whimsical spell accompanied by a dissonant, ascending element.","Short, whimsical spell characterised by a dissonant, ascending hizz.","BIG LONG TONAL CLANG Clang. Bell like resonance. Low, low mid and mid pitches forming dissonant chord. Long decay."
wrench,24,11,13,mid,both,Turning a medium sized socket wrench. Fast sequence.,Turning a medium sized socket wrench with a big socket applied. Fast single sound.,Turning a medium sized socket wrench. Fast single sound.
party,24,21,3,old,both,"CREAK RUBBER BALLOON Stretching, pulling and releasing inflated party balloon. Snapping and creaking.",CREAK RUBBER BALLOON Rubbing two party balloons against each other. Creaking and squeaking.,CREAK RUBBER BALLOON Rubbing and handling party balloon. Creaking and squeaking.
produces,24,24,0,new,desc,Magical shimmer that produces a high-pitched and crackling static noise.,Single cock of paintball gun. Produces soft click with no recoil and short reverberance.,Paintball gun reloaded quickly. Produces light thud with recoil.
shaky,24,24,0,mid,desc,"Short, raspy, and shaky barking.","Short, fast, and slightly shaky barking.","Short, deep, throaty, and shaky barking."
rocking,24,24,0,mid,desc,"Violin bow scraped quickly against lever arch file, as if squeaky rocking chair is moved quickly back and forth.","BODY DROP MEDIUM IMPACTS Falling to ground with a thud, rocking or bouncing and striking the ground again more softly.","BODY DROP LARGE IMPACTS Falling to ground with a low thud, rocking or bouncing and striking the ground again more softly."
boing,24,21,3,new,both,BOING DIDGERIDOO TONAL Hitting the top of a didgeridoo with flat hand. Processed pitch envelope. Ascending pitch. Low.,BOING INSTRUMENT HIGH Playing Jew's harp. Short and wobbling.,BOING INSTRUMENT LOW Playing Jew's harp. Short and wobbling.
broad,24,24,0,new,desc,"Wide and expansive whimsical spell, accompanied by a broad whizzing element.",Smooth flame whoosh with dual-layered motion and broad texture.,Slow unfolding of dense paper with broad motion and rich texture.
cooking,24,5,19,new,both,IMPACT METAL COVER Hitting cooking pot lids together. Ringing tail.,"IMPACT METAL TONAL Hitting two cooking pot lids together. Short, ringing tail.",IMPACT METAL MULTIPLE Spinning cooking pot lids on ground several times.
welding,24,11,13,old,both,"Electric sparks, welding a piece of rail. Dark and subtle humming.","Short, electric sparks from welding rail piece. Soft metallic tone.","Crisp sparks, short humm of welding a piece of rail."
compact,24,24,0,new,desc,Punch noise that is brief and compact.,Compact pile dropped onto ground. Short with subtle debris.,Digital tick characterized by a compact and subtle tone.
featuring,24,24,0,new,desc,Noisy impact featuring a pronounced crunch sound.,"Rapid motion featuring a """"Radar"""" effect and a warping impact.","Fluctuating jiggle with a laser-like quality, featuring a pitch shift and delay."
fizz,24,21,3,new,both,Bright sparkling blast with sweetener layer and liquid energy fizz.,Mid sized pyrocotton blast with rich high burst and fizz.,Extended acidic sizzle with citrus bite and bright tonal fizz.
gargling,24,24,0,new,desc,"Force Cup. Wet, raspy, slightly tonal moaning, groaning and gargling. Mono, Sanken Co100K high frequency response.","Force Cup. Wet, hard, raspy, slightly tonal moaning, groaning and gargling. Mono, Sanken Co100K high frequency response.","Force Cup. Wet, slightly tonal moaning, groaning and gargling. Mono, Sanken Co100K high frequency response."
ride,24,18,6,new,both,"Rapid ride by, accompanied by electric motor sounds.","Moderate ride by, accompanied by electric motor sounds.","Slow ride by, accompanied by electric motor sounds."
based,24,24,0,new,desc,"Soft, fabric based explosion with natural, shifting modulation.","Filtered, cloth based collision with dynamic modulation.","Sharp, fabric based thump with a snappy, forceful transient."
durations,24,24,0,new,desc,Laser noise with diverse durations and double filter effect.,SHOOT MEDIUM Heavy automatic firing impacts with resonating elements. Multiple discharges for gradually longer durations for each variation.,"Rolling crescendo with mallet, varying dynamics and durations. Various instances. Reverberant."
press,24,6,18,new,both,Drawn out citrus press with bubbling fry and tonal liquid detail.,Juicy press with frying texture and slight hiss.,"Mushy, tactile press with elastic squish and slippery motion."
electromagnetic,24,19,5,new,both,"Rapid ridealong, captured using an electromagnetic field microphone placed on the engine.","Moderate ridealong, captured using an electromagnetic field microphone placed on the engine.","Slow ridealong, captured using an electromagnetic field microphone placed on the engine."
artificial,24,10,14,new,both,Extended motioned whoosh with artificial wind gust and parallel filter modulation.,Extended motioned whoosh with artificial wind gust.,Medium length artificial buzz. Resonant decay.
window,24,6,18,new,both,Automatic window closed in car. Buzz followed by short whoosh and clunk.,"Automatic window opened in car. Short, sharp impact followed by soft buzz and light clank.",GLASS BREAK LARGE Breaking window. Some debris.
outdoor,24,6,18,new,both,"Powerful shotgun, outdoor, medium tail.",Outdoor recording of electric welding. Short bursts of flashover. Slightly reverberant.,Outdoor recording of electric welding. Short welding crackles. Slightly reverberant.
harmonics,24,20,4,new,both,"Bass dub hit with upper harmonics present, warping through the air.",Tonal swirling motion with synthetic harmonics and layered texture.,"Long, ethereal vocalization with airy harmonics and magical radiance."
smash,24,15,9,new,both,Dense mirror smash with brittle tone and tonal debris decay.,"Airy, organic smash with mid range stomp.",Physical smash of organic material with stereo spread.
airsoft,24,7,17,old,both,"Trigger of airsoft gun is pulled with ammo in the cartridge, held for a long time with many rounds dispersed producing sharp clicks.","Trigger of airsoft gun is pulled with ammo in the cartridge, held for a medium length of time with multiple rounds dispersed producing sharp clicks","Trigger of airsoft gun is pulled with an empty cartridge, held for a short length of time approximately 3-4 rounds dispersed producing sharp clicks."
canister,23,10,13,new,both,Plastic canister struck strongly by wind. Morphed and modulated.,"Creak of plastic canister, like motor lightly rumbling and then turned off or animal weakly moaning with some vocal fry.","Plastic canister moved to and fro, recorded by hydrophone to produce underwater feeling. Clunks and thuds."
whispering,23,18,5,mid,both,"Ghost, Spirit, Paranormal. Male voice, soft and airy whispering. Mono, Sanken Co100K high frequency response.","Ghost, Spirit, Paranormal. Male voice, soft and airy whispering.","Ethereal, Ghost, Spirit, Male, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Male ghost howling eerie and airy with whispering."
classic,23,10,13,new,both,"Classic, shimmering sound with a sharp, clear tone.","Classic, gritty and confrontational punch impact.",Forceful impact of a classic and conventional slap.
dive,23,5,18,new,both,"STROKE SCREAMING Brief metallic groan, grinding. Pitch dive.","STRUCTURE SYNTHETIC Mid frequency, filtered, metallic tone. Slow to medium pitch dive.",SWOOSH SMALL TARDY Granular sweep. Fly by. Doppler dive. Fading into distance.
cosmic,23,16,7,new,both,"Spaceship engine, cosmic propellant.","Black hole door, cosmic gate.","Galaxy precipitation, cosmic cicadas rain."
trailing,23,23,0,new,desc,Snapping impact followed by a trailing burst of static.,Digital tick characterized by a distinctive tonal quality and trailing echo.,Dynamic essence of a poof or burst with a trailing energetic release.
puff,23,22,1,new,both,Whimsical spellcast followed by a shimmering puff of smoke swirling and dissipating in the air.,Sudden disappearance or transformation of an object into a puff of smoke.,"Quick, high puff of thin aerosol spray."
