word,category,count,library_count,example
sizzle,未分类,57,12,"Sizzle. Wet, airy, raspy, slightly tonal squeezing, screeching. Mono, Sanken Co100K high frequency response."
chimes,未分类,57,8,Chimes with reverberation and a shifting frequency effect.
smashing,未分类,57,7,PROCESSED RUPTURE Heavy rumbling and smashing down.
pop,未分类,57,8,"Positive reward pop, amplified by a mystical shimmer."
drone,未分类,57,10,"Metallic, whining and zapping pass by whooshes in a high-end range, ending with a drone texture."
echoing,未分类,56,14,"Fluctuating, jolting shing with an echoing effect."
balloon,未分类,56,7,"SYNTHETIC HIT HIGH Distorted release of quick and short thuds, like deflating a balloon."
ball,未分类,56,11,Steel ball of 14 kilograms being dropped onto dirt consisting of bark and mulch. Deep and dull hit.
electronic,未分类,56,8,Slightly wavering sound of an electronic horn.
phasing,未分类,56,9,Muddy and quick explosion with phasing elements. Sharp with lots of low end.
animalistic,未分类,56,1,"Orc, Ogre, Cyclops, Fantasy. Male voice, animalistic inward squeal. Mono, Sanken Co100K high frequency response."
squealing,未分类,55,3,"Domestic, Farm, Swine, Mammal. Aggressive, low, tonal grunting and squealing. Mono, Sanken Co100K high frequency respons"
decreasing,未分类,55,8,"Wood, Instrument, Friction. Slightly tonal, raspy moaning and stuttering with decreasing tension. Mono, Sanken Co100K hi"
material,未分类,55,8,"Weighty impact as a substantial fabric material meets a surface, characterized by a texture reminiscent of thick cloth."
plop,未分类,55,8,"Bottle being opened or closed with a soft, miniature plop."
crash,未分类,55,11,"Gravitational collision, spatial crash."
vibrating,未分类,54,10,"Fast, deep, and vibrating warble."
closing,未分类,54,11,"PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter."
creaking,未分类,54,10,PROCESSED HIT HIGH Heavy thud with some creaking at the end.
pressing,未分类,54,6,Pressing object under water. Air bubbling on surface with some light splashing.
tape,未分类,54,8,Fast ripping off duct tape with a lot of high end.
agony,未分类,54,2,An enormous troop of women performing a tormenting scream filled with agony far away with a washed out character.
edge,未分类,54,5,"Alternate variation of slow, firm polyester pass with tonal edge."
snorting,未分类,53,5,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."
futuristic,Mood,53,8,Futuristic and friendly tonal essence reminiscent of sounds associated with androids or advanced technology.
table,未分类,53,5,Motion of a card being dragged and turned on a table surface.
victorious,未分类,53,1,An enormous troop of women performing a victorious and triumphant cheer far away with a washed out character.
triumphant,未分类,53,1,An enormous troop of women performing a victorious and triumphant cheer far away with a washed out character.
cheer,未分类,53,1,An enormous troop of women performing a victorious and triumphant cheer far away with a washed out character.
terror,未分类,53,1,An enormous troop of women performing a panicking shriek of terror far away with a washed out character.
tormenting,未分类,53,1,An enormous troop of women performing a tormenting scream filled with agony far away with a washed out character.
fi,未分类,53,4,Sci-fi woosh sound with distorted highs and pitch modulation.
slope,未分类,53,2,"Dirt and rocks fall continuously, breaking off of slope."
growl,未分类,52,19,"Extraterrestrial, Creature, Monster. Long, deep growl with smacking and exhaling at the end."
chirp,未分类,52,4,Tonal chirp sound that descends in pitch.
dragged,未分类,52,7,Metallic chain being dragged. Slightly tonal ringing.
ignition,未分类,52,9,"Short, whimsical spell accompanied by the crackling sound of ignition."
assault,未分类,52,2,"Assault projectile with rattling sound, reflections, short tail."
slam,未分类,52,10,Explosive fiery crumble with heavy tail and deep tonal slam.
stress,未分类,52,2,GLASS STRESS LONG Panels rubbing and straining aigainst each other in bucket. Cracking noise.
fragments,未分类,51,6,Ascending movement of fragments.
stick,未分类,51,12,Glimmering dreamy bell sound with constant stick.
whimsical,Mood,51,5,"Synthesized jiggle resembling cartoon movement, characterized by its dynamic and whimsical tone."
cutting,未分类,51,13,"PROCESSED FRACTION Short and distorted jabs, like cutting wood."
spell,未分类,51,6,"Short, whimsical spell, brimming with playfulness."
brittle,未分类,51,11,Sharp and brittle break as a crispbread fractures from friction and pressure.
swell,未分类,51,11,Dramatic whoosh swell characterized by a screechy and tonal quality.
discharge,未分类,51,11,Laser fired with electronic discharge and whistly tail.
babbling,Voice,51,1,Three months old baby boy babbling and mumbling continuously. Long sequence.
increasing,未分类,50,9,"Vibration, Whisking. Very low, tonal rubbing and moaning with fast stuttering and increasing tension. Mono, Sanken Co100"
tension,未分类,50,12,"Vibration, Whisking. Very low, tonal rubbing and moaning with fast stuttering and increasing tension. Mono, Sanken Co100"
creaks,未分类,50,6,"PROCESSED MOVEMENT CONTINUOUS Rumbling, with fast and hard tapping, with short creaks."
ortf,未分类,50,1,"Antique artillery, historic cannon, cal 27mm. ORTF3D Hi positioned 150m away from the cannon."
clinking,未分类,50,3,Continuous tingling and clinking as the screws fall into the ceramic surface of the cup.
wailing,Voice,50,4,A massive mob of women performing a wailing scream at a very close distance.
staggered,未分类,50,6,Bubbly particles dispersed with thumps and staggered shots.
vegetables,未分类,50,2,Vegetables smacked hard with hand.
force,未分类,49,11,"Rub, Force Cup. Desperate, tonal moaning and groaning with varying pitch. Mono, Sanken Co100K high frequency response."
random,未分类,49,9,Rapid motion with random filter effects.
saw,未分类,49,8,Quick motion noise sound with white noise saw wave and dual delay shift.
clank,未分类,49,5,"PROCESSED HIT HIGH Hard and synthetic sweep like sound, resembling continuous clank."
loose,Attack,49,11,Loose wooden and metallic pieces rattling.
creating,未分类,49,9,"Sequential impacts of multiple coins hitting the table surface, creating a series of metallic clinks and clatters."
death,未分类,49,2,An enormous troop of women performing a dying scream and giving the death rattle far away with a washed out character.
bounce,未分类,49,9,Large door hinge dropped producing tinny clank and sometimes slight bounce.
squishing,未分类,49,2,Grapefruit is smashed. Squishing wet parts.
cat,未分类,48,3,"Wild, Toddy Cat, Mammal. Furious, tonal screaming, moaning and jabbering. Mono, Sanken Co100K high frequency response."
chirping,Voice,48,9,"Wild, Ratel, Mammal. Very high, short, tonal chirping and snarling. Very long sequences. Mono, Sanken Co100K high freque"
explosive,Attack,48,17,Theatrical burst of white noise with explosive force.
stutter,未分类,48,12,Gleaming effect characterised by a knife scrape and stutter.
chain,未分类,48,7,"Gleaming effect characterised by a metal chain, delay, and formant shift."
groan,未分类,48,10,"Short, soft, and sad groan."
popping,未分类,48,15,Gentle falling of liquid followed by a subtle popping sound upon impact.
horror,未分类,48,1,"Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming lo"
dying,未分类,48,1,An enormous troop of women performing a dying scream and giving the death rattle far away with a washed out character.
giving,未分类,48,1,An enormous troop of women performing a dying scream and giving the death rattle far away with a washed out character.
projectile,未分类,48,6,Projectile transported quickly through space by sharp beep.
drag,未分类,48,6,"Gentle, steady fabric drag with smooth grain and softened detail."
wash,未分类,48,4,Heavy cymbal wash with tonal depth and long dynamic release.
sci,未分类,48,3,Sci-fi woosh sound with distorted highs and pitch modulation.
static,未分类,47,11,"Deep, resonant thump combined with a burst of static noise."
presence,未分类,47,7,"Warm, inviting sharp accent  that signifies a friendly presence."
electrical,未分类,47,8,Electrical jolt with neutral accent and delay.
door,未分类,47,10,"SYNTHETIC HIT HIGH Distorted bangs, resembling hard hits on a wooden door."
pistol,未分类,47,5,"SYNTHETIC HIT LOW Hard and whip like snap, like shooting an old pistol."
opening,未分类,47,11,"SYNTHETIC FLY BY Deep rattling and shaking, like sharp sound of opening wooden and unstable door."
latch,未分类,47,6,Metallic movement of a metal latch being operated or used.
hurrah,未分类,47,1,An enormous troop of women performing a dominant Hurrah scream far away with a washed out character.
spark,未分类,47,6,Energy firing rumble with sustained high frequency spark.
crunches,未分类,47,4,"Short, distorted, organic, crunches with subtle tail."
skating,未分类,47,1,SKATING INDOOR PARK ATMO Atmo from indoor park.
threatening,未分类,46,3,"Domestic, Mammal. Threatening growling, snarling and groaning. Long sequences. Mono, Sanken Co100K high frequency respon"
bubbly,未分类,46,10,"Playful, repetitive sharp accent characterised by a bubbly character."
quiet,Intensity,46,11,"SYNTHETIC SCREECH SHORT Loud clang like sound, with feedback, and quiet rumble."
mortar,未分类,46,2,"Antique artillery, historic cannon mortar, cal 45mm. ORTF3D Hi positioned 100m away from the cannon."
turning,未分类,46,14,Quickly turning of metallic pieces. Squealing and slightly screeching.
spinning,未分类,46,15,Continuous spinning with soft squeaking and some vibrant rattling.
slide,未分类,46,15,"Short slide of big, metallic pieces followed by thuds. Slightly rattling and ringing."
locking,未分类,46,8,Metallic pieces locking impacts.
defined,未分类,46,6,Digital tick characterized by a sharp and defined rhythmic pattern.
gesture,未分类,46,8,"Fast, basic whooshing noise, resembling the swift movement of a swipe gesture."
natural,Mood,46,9,UI tick that contains a natural and organic quality.
combat,未分类,46,1,An enormous troop of women performing a typical combat shout far away with a washed out character.
shout,未分类,46,1,An enormous troop of women performing a typical combat shout far away with a washed out character.
detail,未分类,46,3,"Gentle, steady fabric drag with smooth grain and softened detail."
cymbal,未分类,46,7,Shimmering cymbal with modulated flutter and soft trailing decay.
sub,未分类,46,8,Big crumbling stomps with sub and wide ripping highs. Mid attack and decay.
type,未分类,46,2,Rising soil type texture with slow attack and fast decay.
variation,未分类,45,12,"Domestic, Farm, Mammal. Desperate moaning and braying. Shrieking in the last variation. Mono, Sanken Co100K high frequen"
pipe,未分类,45,9,"Pipe, Bowl. Long, fast stuttering and clicking with varying tension. Mono, Sanken Co100K high frequency response."
horn,未分类,45,7,"Instrument, Horn. Intense, painful, tonal screeching and moaning with heavy stuttering and varying pitch. Mono, Sanken C"
bassy,未分类,45,12,"Hit, Punch. Short, hard, low, bassy impact. Heavily processed."
swift,Attack,45,11,"Swift, sharp shimmering sound."
solid,Shape,45,12,"PROCESSED HIT LOW Deep and heavy thuds, like dropping a heavy object on a solid surface, with feedback."
turned,未分类,45,6,Motion of a card being dragged and turned on a table surface.
roll,未分类,45,11,Motion of a dice roll followed by a brief wobble as they come to a stop.
tuning,未分类,45,2,"Sharp, cracking, powerful attack. Tight, fast decay. Mid tuning. Various instances. Reverberant."
decrescendo,未分类,45,1,"RINGING PERCUSSION Briefly shaking, crescendo and decrescendo. Bright."
nato,未分类,45,1,"SUPPRESSED ASSAULT RIFLE Caliber 5.56 NATO. Heavy, kicking shot sound. Mechanic trigger and soft tail."
clear,未分类,44,11,"Classic, shimmering sound with a sharp, clear tone."
power,未分类,44,12,Short jolt sound indicating a power up.
stretched,未分类,44,13,Synthesized glimmering characterised by glass friction being time stretched.
beam,未分类,44,9,Beam characterised by an ascending action movement.
ripping,未分类,44,11,"PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter."
stones,未分类,44,9,"PROCESSED DECAY Hard bang with feedback, similar to stones crumbling and scattering after a blast."
plate,未分类,44,8,Metallic plate hit with ring out and some rattling.
suction,未分类,44,7,"An airy rope suction, characterized by a swift whooshing noise."
modulating,未分类,44,9,Deep modulating with filter movement in tail.
giant,未分类,44,4,"Cyclops, Giant, Orc, Ogre, Fantasy. Male voice, aggressive animalistic inward squeal. Mono, Sanken Co100K high frequency"
scrapes,未分类,44,6,"Gun is cocked slowly, making slide more pronounced. Metal scrapes against metal and clacks."
predator,未分类,43,2,"Wild, Cat, Feline, Predator, Mammal. Angry, threatening growling and snarling. Mono, Sanken Co100K high frequency respon"
tremolo,Movement,43,12,"Wild, Falcon. High, slightly raspy, tonal screeching and screaming with fast tremolo. Mono, Sanken Co100K high frequency"
energetic,未分类,43,11,"Wild, Tropical. Very energetic, tonal chattering and squawking. Mono, Sanken Co100K high frequency response."
reverberating,未分类,43,6,Crisp burst of white noise with a reverberating echo.
blade,未分类,43,6,"SYNTHETIC SCREECH LONG Sharp flutter, followed by hard flapping, like blade slap of a helicopter."
apart,未分类,43,9,Tearing apart textile. Sharp with some subtle cloth movements.
chime,未分类,43,5,Resonant and shimmering tone produced by a bell chime.
moves,未分类,43,5,Metallic clinks and rattles as a coin moves around on the smooth surface of a plastic phone.
making,未分类,43,9,"Lips or tongue making contact with each other, resulting in a quick and percussive snappy pop."
harmonic,Pitch,43,9,Heavy mystical hit with dark harmonic bloom and deep resonance.
inharmonic,Pitch,43,2,"Tearing, swelling noise with inharmonic morphing highs."
feline,未分类,42,1,"Wild, Cat, Feline, Predator, Mammal. Angry, threatening growling and snarling. Mono, Sanken Co100K high frequency respon"
dominant,未分类,42,4,Glimmering sound with dominant accent modulation.
produced,未分类,42,4,"Descending, scratching sharp accent produced by a synthesizer."
fading,Movement,42,11,"PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter."
tapping,未分类,42,12,"PROCESSED SCREECH LONG Continuous buzzing, with tapping and some screeching."
engine,未分类,42,10,"SYNTHETIC FLY BY Heavy and fast tapping, with rumbling, closing in and slowing down, like stopping an engine."
dirt,Material,42,6,Steel ball of 14 kilograms being dropped onto dirt consisting of bark and mulch. Deep and dull hit.
bag,未分类,42,10,"Forceful thump as a fabric bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper ji"
much,未分类,42,11,"Vacuum cleaner suction friction with umbrella nylon material, long. Constant movement with much low end."
banshee,未分类,42,2,"Banshee, Ghost, Spirit, Paranormal. Female voice, inhaling tonally. Reversed reverb tail."
sticky,未分类,42,6,Drawn out slime bubbling with wet resonance and sticky modulation.
flopping,未分类,42,2,"BODY DROP LARGE IMPACTS Falling to ground with a low thud, flopping and bouncing 2 or 3 times."
marine,未分类,41,1,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response."
reminiscent,未分类,41,3,Potent burst of white noise reminiscent of a strong punch.
passing,未分类,41,13,"Sharp accent with a rugged, driven sine wave passing by."
spraying,Liquid,41,5,Continuous hits with splashing and steady displacement. Subtle spraying and splashing.
nature,未分类,41,2,"Short, whimsical spell characterized by its light and granular nature."
splashy,未分类,41,6,Standard extinguish hit with airy steam release and splashy decay.
watery,未分类,41,7,Compact magical bubble release with watery burst and sharp accent.
mallet,未分类,41,5,Soft mallet strike with smooth rise and long shimmering sustain.
shrieking,Voice,40,5,"Domestic, Farm, Mammal. Excited braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency response."
sudden,Attack,40,15,"Mystical, enchanting sharp accent that signifies the sudden appearance of sorcery."
muted,未分类,40,9,Brief explosion noise reminiscent of a muted poof.
crack,未分类,40,14,Brief explosion noise reminiscent of a sharp crack.
objects,未分类,40,9,"SYNTHETIC FRACTION Loud and short clang like sound, like hard hit of metal objects."
pile,未分类,40,6,Dropping pile on ground. Short with rustling.
along,未分类,40,6,Metallic clinks and rattles as the washers roll along a cable.
whirring,未分类,40,4,Vacuum cleaner sucking in air with fluttering material and some tonal whirring.
months,未分类,40,1,Three months old baby boy babbling and mumbling continuously. Long sequence.
tardy,未分类,40,1,FRAGMENTS CONTINUOUS SEQUENCE TARDY Digital noise flows. Flushing. Tremolo. Spreading wide then quickly closing into the
sparkling,未分类,39,11,Metallic sound with a sparkling quality and a subtle vibrato effect.
washed,未分类,39,2,Rapid motion with a washed-out effect.
missile,未分类,39,4,"SYNTHETIC DECAY Muffled and distorted shot, resembling shooting a missile, with flutter."
many,未分类,39,7,Metallic clink and resonance as many coins make contact with other treasures.
bys,未分类,39,5,"Airy and light whoosh bys, long."
sometimes,未分类,39,5,Rumble with sizzling grains. Pitch of rumble ascends and grains sometimes change. Speed consistent.
drive,未分类,39,8,Low cloth rush with smooth body and subtle drive.
crispy,未分类,39,5,Crispy stereo panning screeching noise.
animated,未分类,38,4,"Domestic, Farm, Mammal. Highly animated braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency r"
bactrian,未分类,38,1,"Domestic, Bactrian, Mammal. Desperate, long, tonal moaning and groaning. Mono, Sanken Co100K high frequency response."
rub,未分类,38,6,"Scratch, Rub. Aggressive, raspy, resonant scraping with varying movement. Mono, Sanken Co100K high frequency response."
inhale,未分类,38,3,"Air, Breath, Inhale, Exhale. Long, airy, hissing bursts with sizzling at the end. Mono, Sanken Co100K high frequency res"
cup,未分类,38,8,"Rub, Force Cup. Desperate, tonal moaning and groaning with varying pitch. Mono, Sanken Co100K high frequency response."
glimmering,未分类,38,3,Coins glimmering with frequency alteration and delay.
warm,Mood,38,8,"Warm, inviting sharp accent  that signifies a friendly presence."
wobbly,未分类,38,13,"PROCESSED SCREECH LONG Continuous screech, opened with a bang, followed by wobbly dispersion."
flight,未分类,38,5,"PROCESSED SCREECH SHORT Continuous screech, with fluttering and feedback. Fly by of unknown flight object."
shotgun,未分类,38,5,"Antique artillery, historic cannon, cal 27mm. MS shotgun microphone positioned 20m away from the cannon."
plunger,未分类,38,4,Hitting surface with plunger. Tonal impact with splashing.
enormous,未分类,38,1,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
troop,未分类,38,1,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to
breathy,Voice,38,9,"Swift, breathy whisper infused with magical motion and light whoosh."
drastic,未分类,38,1,"MEDIUM DRASTIC Calm, airy and raspy with slight distortion, varying intensity and isolated bursts."
desperate,未分类,37,1,"Wild, Marine, Mammal. Desperate, tonal moaning and screaming. Underwater hydrophone recording."
action,未分类,37,7,Beam characterised by an ascending action movement.
cardboard,Material,37,7,Rattling movement of metal cutlery items as they drop onto a cardboard surface.
pulled,未分类,37,6,Large plop of a substantial object being rapidly pulled or stretched.
flanging,未分类,37,6,Short and quick pass by of a rocket. High sizzling and flanging elements on top with much low end.
constantly,未分类,37,7,Continuous growling elements moving constantly and stuttering. Dry and slightly tonal in mid range.
stream,未分类,37,12,Continuous stuttering and warping elements. Sounds like a medium intensity constant stream in a tunnel.
kazoo,未分类,37,2,"Kazoo. Female voice, raspy moan in plastic kazoo. Mono, Sanken Co100K high frequency response."
recharge,未分类,37,2,Energy recharge. Plop followed by synthetic burp.
trail,未分类,37,6,Thrusted fabric launch with magical twirl and fluttering trail.
tense,未分类,37,5,Short sliding screech with piercing tone and tense friction build.
clattering,未分类,37,7,"Tonal and noisy thrusters bursting intensely, low register. Noisy, distorted and clattering thruster burst elements."
occasional,未分类,36,5,"Domestic, Farm, Swine, Mammal. Low grunting and growling with occasional airy snorting. Mono, Sanken Co100K high frequen"
squeezing,未分类,36,6,"Sizzle. Wet, airy, raspy, slightly tonal squeezing, screeching. Mono, Sanken Co100K high frequency response."
reverberation,未分类,36,9,Dynamic burst of white noise immersed in room reverberation.
variations,未分类,36,16,"Swift synthesized movement with tonal variations, featuring a warped effect and filtered texture."
detonation,未分类,36,10,"Extended, crisp and descending breath-like detonation."
brutal,Intensity,36,5,PROCESSED FLY BY Brutal rumbling and crackling with closing filter effect like scraping a flower pot on concrete.
stopping,未分类,36,12,"SYNTHETIC FLY BY Heavy and fast tapping, with rumbling, closing in and slowing down, like stopping an engine."
rope,未分类,36,8,Atmospheric effect of a long bubble rope being formed and manipulated.
cracks,未分类,36,8,"Low, wobbling elements with slow cracks and tussle. Constant movement with much low end."
crank,未分类,36,3,"Trigger of airsoft gun is pulled with an empty cartridge with only round fired, creating a short thud and crank."
juicy,未分类,36,5,Juicy press with frying texture and slight hiss.
cast,未分类,36,3,"Magical cast with layered sparkle, tonal brightness, and energetic sweep."
woosh,未分类,36,3,"Synthesized, inharmonic woosh sound. High mids with fast decay."
transients,未分类,35,10,"Breathing, Inhale, Exhale. Slightly wet, airy, resonant inhaling and exhaling with low transients. Mono, Sanken Co100K h"
rhythmic,未分类,35,8,"Swift, rhythmic synthesized movement characterized by a tonal disruption."
bang,未分类,35,6,Brief explosion noise reminiscent of a bang.
rounded,未分类,35,7,Brief explosion noise that is smooth and rounded.
scattering,未分类,35,11,"PROCESSED DECAY Hard bang with feedback, similar to stones crumbling and scattering after a blast."
softer,未分类,35,6,"Dropping stone pieces. High, rustling and some softer hits."
closed,未分类,35,5,Motion of shaking dice in a closed hand.
scattered,Shape,35,11,Gentle and mystical shimmering of bell dust being scattered or dispersed.
higher,未分类,35,7,"Whooshing impact of leather gloves being flapped back and forth, higher pitched."
morphing,未分类,35,3,"Processed, scrapping and slightly morphing wind whooshes."
tube,未分类,35,7,"Zombie, Alien, Extraterrestrial, Mutate. Male voice, eerie inhale scream in pvc tube with plastic kazoo. Mono, Sanken Co"
falls,未分类,35,3,Synthetic high pall falls extremely quickly.
squeezed,未分类,35,4,Crumbling mid low impact with crunchy squeezed and tail.
bells,未分类,35,3,Granular cloud of bells with sparkly high end and dense particles.
laughing,未分类,35,3,Small critter laughing hysterically.
raking,未分类,35,2,Raking a pile of leaves with a leave rake.
bowl,未分类,34,5,"Pipe, Bowl. Long, fast stuttering and clicking with varying tension. Mono, Sanken Co100K high frequency response."
shake,未分类,34,7,Rapid motion with metal cup shake and sparks.
reverse,未分类,34,8,Gleaming effect with reverse bell shake and shift delay.
gradual,Duration,34,7,Noisy twist with a gradual decrease in torque.
glitchy,未分类,34,8,"Rapid synthesized movement characterized by a moist, glitchy texture."
together,未分类,34,7,Several metallic pieces hitting together. Some ringing and clanging in tail.
generic,未分类,34,4,Neutral and generic zapping whimsical spellcast.
sustain,未分类,34,5,"Quick and zapping, resonant impact with small sustain."
narrow,Space,34,8,"Short, sharp laser fire. Narrow and warped bass drop."
mechanics,未分类,34,4,SHOOT BIG Pitch falling impact with slight distortion and some mechanics.
closely,未分类,34,3,Spacecraft approaching closely.
angry,未分类,33,4,"Domestic, Farm, Swine, Mammal. Angry squealing and screaming with subtle grunting. Mono, Sanken Co100K high frequency re"
beak,未分类,33,3,"Wild. Steady, continuous beak clapping sequence. Multiple birds at the end. Mono, Sanken Co100K high frequency response."
scratchy,未分类,33,8,"Vibration. Short, scratchy, raspy, tonal screeching. Mono, Sanken Co100K high frequency response."
jet,未分类,33,8,"Continuous synthesized movement resembling jet noise, modified with a comb filter effect."
turbulent,Mood,33,7,Whoosh with characteristics reminiscent of a turbulent air hit.
textile,未分类,33,5,Textile movement with some flapping and rustling.
clinks,未分类,33,3,Gentle clinks and shuffles as the coins are shifted or moved in a hand.
hammer,未分类,33,5,Solid impact as a hammer hits the hard surface of a stone.
swirl,未分类,33,7,Prolonged duration of an intricately crafted tonal swirl whoosh.
weight,未分类,33,6,"Soft, padded nylon strike with short decay and low weight."
agitated,未分类,32,5,"Wild, Marine, Mammal. Agitated, raspy, tonal screaming and moaning. Underwater hydrophone recording."
firm,未分类,32,6,"Wobble noise with a firm, linear effect."
roar,未分类,32,9,"PROCESSED FLY BY Loud roar like sound, with distortion."
place,未分类,32,4,Metallic piece sliding with friction followed by snapping into place.
nylon,未分类,32,6,"Powerful collision between a textile material and a surface, distinguished by the fusion of plush fabric and the durabil"
indicates,未分类,32,1,Confirmative UI tick that indicates successful permission granting.
riser,未分类,32,2,Low riser followed by an impact and a short tail. Fast pass bys.
beast,未分类,32,4,"Granular stutter of metal, like gnarl of ferocious beast. Long duration."
whizzes,未分类,32,4,Space capsule whizzes by observer quickly. Quiet whoosh becomes louder depending on speed of object.
spaced,未分类,32,2,"BIG SHORT MECHANISM Crisp, snapping attack with low punching thud with fast decay. Gentle mid resonance. two closely spa"
amplitude,未分类,32,4,"BIG LONG TREMOR Strong, low frequency resonance and rumble. Violent rattle. Inconsistent, erratic amplitude fluctuations"
sandy,Texture,32,1,"MOTION SMALL SANDY High-frequency crinkling, crunching, rustling and shuffling. Slight low-mid resonance. Medium duratio"
pronounced,未分类,31,7,Gritty impact with a pronounced crunch sound.
thudding,未分类,31,6,"Noisy, thudding impact combined with a distinct crunch."
ethereal,Mood,31,8,"Dreamy sound of a bell with a soft, ethereal quality."
sparks,未分类,31,9,Rapid motion with metal cup shake and sparks.
rapidly,未分类,31,13,Rapidly rising tonal noise that includes deformed motion.
shattering,未分类,31,15,"PROCESSED RUPTURE Hard hit, with loud shattering and breaking."
start,未分类,31,8,"PROCESSED RUPTURE Hard and distorted rumble, similar to start of an explosion."
starting,未分类,31,11,"PROCESSED FLY BY Deep rumble, similar to the sound of avalanche starting."
extremely,未分类,31,8,"SYNTHETIC HIT HIGH Short and quick rattle, like extremely fast banging on a door."
whip,未分类,31,10,"SYNTHETIC HIT LOW Hard and whip like snap, like shooting an old pistol."
spray,未分类,31,7,"Short, whimsical spell accompanied by the gentle sound of a light spray."
machine,未分类,31,8,Movement of a metal handle during the assembly of an espresso machine.
transition,未分类,31,10,Distinct snap or pop sound associated with the phase transition of a bubble.
mellow,未分类,31,7,UI tick characterised by a soft mellow tone and rounded impact.
liquidy,未分类,31,5,Filtered and liquidy rapid whooshes with additional rumbling elements.
cut,未分类,31,9,"Transmission outage, transfer cut."
frozen,未分类,31,5,"Shooting space rocks, frozen water pieces."
tremor,未分类,31,2,"BIG LONG TREMOR Ambient, sustained low rumble and rattling. Low mid metallic shimmer, resonance. Medium long decay."
fizzling,未分类,30,5,High-pitched electrified surge resembling energy sparks fizzling out.
button,未分类,30,5,Tonal sound with a button bubble effect.
percussive,Attack,30,6,"Lips or tongue making contact with each other, resulting in a quick and percussive snappy pop."
clicky,未分类,30,5,Clicky effect characterized by its oscillating and rhythmic nature.
groans,未分类,30,6,A solo woman performing striking groans in a studio environment.
obscure,未分类,30,2,"Obscure transition, alien drone release."
full,Shape,30,12,Full spectrum energy burst with powerful transient and dense weight.
fluttery,未分类,30,5,Quick air pass of thick paper with fluttery rush and dense body.
pad,未分类,30,5,"Constant, high pitched pad of harmonically rich, metallic resonance."
perspective,未分类,30,2,Three months old baby boy dreaming. Close perspective.
swash,未分类,30,1,"LARGE NORMAL Under water low splash with clear, soft swash."
stable,未分类,29,6,"Wild. Calm, high, tonal, screaming with stable pitch and subtle clucking at the beginning. Mono, Sanken Co100K high freq"
impactful,未分类,29,11,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response."
breath,未分类,29,9,"Air, Breath, Inhale, Exhale. Long, airy, hissing bursts with sizzling at the end. Mono, Sanken Co100K high frequency res"
isolated,Shape,29,5,Sharp accent characterised by an isolated sine bubble.
thunder,未分类,29,7,Extended explosion noise reminiscent of crackling thunder.
rupture,未分类,29,4,PROCESSED RUPTURE Heavy rumbling detonation like impact with flame like roaring in tail.
lo,未分类,29,4,"Antique artillery, historic cannon, cal 27mm. ORTF3D Lo positioned 150m away from the cannon."
focused,Shape,29,9,Very dull wood collision sound focused on low frequencies.
colliding,未分类,29,7,"Heavy impact of a bucket against stone and sand debris, resulting in a dull and muffled effect upon colliding with a sur"
fiery,未分类,29,8,Ignition and explosion of a fiery and dynamic whimsical spell.
container,未分类,29,6,"Action of turning down a plastic bottle filled with liquid, capturing the subtle bubbling and sloshing noises as the liq"
layers,未分类,29,7,Gentle rustling and friction as the layers of paper are manipulated and pressed together.
melodic,未分类,29,6,Digital tick characterized by a triple sustained melodic resonance.
vacuum,未分类,29,5,Vacuum cleaner sucking in air with fluttering material and some tonal whirring.
layer,未分类,29,9,Continuous elements moving and stuttering softly. Muted base layer noise texture.
towards,未分类,29,4,A squad of 10 women performing a horrendous war scream while running towards the microphones. Recorded in an open field 
clanks,未分类,29,2,Paintball gun reloaded. Various clicks and clanks.
crazy,未分类,29,4,RAY SMALL Clanks with rise in pitch. Crazy swarm of bees becoming more and more distorted. Various clanks and squeaks wi
ricochet,未分类,29,4,SHOOT BIG Double impacts with roaring ricochet at the end.
twinkling,未分类,29,5,"Soft, twinkling air laced with ethereal harmonic pulses."
chomp,未分类,29,2,"Crunch of plant material of wicker basket as it is moved, similar to chomp."
girl,未分类,29,1,One year old baby girl babbling continuously. Slightly spitting.
ruffling,未分类,29,1,"MOTION SMALL RUSTLE Ruffling, rustling, high-frequency noise. Short duration."
gurgling,Liquid,28,12,"Extraterrestrial, Creature, Monster. Calm, slightly threatening growling and gurgling."
quality,未分类,28,5,"Dreamy sound of a bell with a soft, ethereal quality."
bow,未分类,28,6,Rapid and dynamic phase-shifting synthesized movement characterised by a guitar with a bow.
essence,未分类,28,3,Tonal essence resembling the appearance of clouds at a high altitude.
